,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
240,0,,7,,,12,,,0,3,3,Inverness C,3,2011-08-05,1,,7,,,12,,,0,4,3,Dunfermline,2,,,
241,0,,5,,,9,,,0,25,13,Celtic,1,2011-08-06,0,,5,,,11,,,0,6,3,Aberdeen,2,,,
242,0,,7,,,9,,,1,9,6,Hearts,1,2011-08-06,0,,10,,,12,,,1,12,9,Motherwell,1,,,
243,0,,5,,,9,,,1,8,4,Rangers,2,2011-08-12,0,,1,,,11,,,1,6,3,Inverness C,2,,,
244,0,,5,,,15,,,0,6,5,Motherwell,2,2011-08-12,0,,6,,,7,,,0,3,3,St Mirren,2,,,
245,1,,3,,,11,,,1,5,3,Dunfermline,2,2011-08-12,0,,6,,,12,,,0,7,3,St Johnstone,1,,,
246,1,,7,,,14,,,0,6,3,Dundee United,3,2011-08-12,2,,5,,,10,,,0,17,9,Celtic,1,,,
247,0,,3,,,18,,,0,7,1,Aberdeen,1,2011-08-12,2,,1,,,11,,,0,7,6,Hearts,1,,,
248,1,,3,,,20,,,0,10,4,Hibernian,3,2011-08-13,2,,3,,,6,,,0,15,8,Kilmarnock,0,,,
249,0,,6,,,6,,,0,11,6,Inverness C,3,2011-08-19,2,,6,,,12,,,0,14,7,Aberdeen,0,,,
250,0,,1,,,14,,,0,3,1,Dunfermline,1,2011-08-19,0,,13,,,12,,,0,7,4,Dundee United,1,,,
251,2,,2,,,9,,,0,6,3,St Mirren,1,2011-08-19,1,,6,,,16,,,0,9,1,Hibernian,1,,,
252,0,,7,,,11,,,0,12,8,Hearts,4,2011-08-20,0,,2,,,9,,,0,6,1,Kilmarnock,0,,,
253,0,,7,,,6,,,0,5,3,St Johnstone,3,2011-08-20,0,,9,,,8,,,0,17,7,Celtic,0,,,
254,2,,6,,,11,,,0,16,9,Rangers,2,2011-08-20,0,,10,,,8,,,0,5,5,Motherwell,1,,,
255,2,,3,,,6,,,0,6,4,Motherwell,1,2011-08-26,0,,3,,,12,,,0,8,2,Dunfermline,2,,,
256,1,,5,,,15,,,0,9,4,Kilmarnock,2,2011-08-26,1,,4,,,17,,,0,11,5,Inverness C,3,,,
257,1,,6,,,13,,,0,13,6,Dundee United,0,2011-08-26,3,,8,,,12,,,0,10,7,St Johnstone,2,,,
258,2,,6,,,13,,,0,13,7,Celtic,0,2011-08-27,0,,10,,,12,,,0,13,8,St Mirren,0,,,
259,0,,2,,,7,,,0,8,4,Aberdeen,1,2011-08-27,1,,3,,,10,,,0,15,7,Rangers,2,,,
260,0,,3,,,15,,,0,9,5,Hibernian,5,2011-08-27,1,,8,,,20,,,0,15,7,Hearts,1,,,
261,0,,8,,,8,,,0,4,1,Motherwell,2,2011-09-09,2,,6,,,10,,,0,16,8,Celtic,1,,,
262,0,,10,,,7,,,0,13,6,Rangers,3,2011-09-09,0,,10,,,9,,,1,13,5,Dundee United,2,,,
263,0,,6,,,12,,,0,5,3,Hearts,2,2011-09-09,0,,2,,,15,,,0,6,3,Inverness C,1,,,
264,1,,5,,,4,,,0,6,2,Dunfermline,3,2011-09-09,2,,3,,,1,,,0,7,4,Kilmarnock,1,,,
265,0,,2,,,17,,,0,8,1,St Johnstone,4,2011-09-09,0,,4,,,10,,,0,10,4,St Mirren,3,,,
266,0,,10,,,11,,,0,7,4,Aberdeen,1,2011-09-10,0,,6,,,10,,,0,12,7,Hibernian,4,,,
267,0,,2,,,10,,,0,1,1,St Mirren,3,2011-09-16,1,,13,,,11,,,0,5,0,Hearts,1,,,
