Player,Season,Rating
Juwon Oshaniwa,16,59
Daniel Devine,13,59
Ryan Stevenson,13,65
Miku,12,74
Chris Erskine,16,65
Andrew Shinnie,13,70
Keith Lasley,15,66
Tom Rogic,16,70
Callum Paterson,13,62
Mark O'Hara,13,58
John Sutton,15,65
Paul Dixon,16,67
Dario Zanatta,16,53
Efe Ambrose,13,68
Antonio Reguero Chapinal,14,60
David Raven,13,59
Lucas,15,82
Ben Gordon,14,60
James McFadden,14,69
David Raven,16,65
Kenny McLean,16,70
Sean Dillon,14,60
Carl Finnigan,13,60
Miguel Pallardo,16,63
Stuart Armstrong,16,70
Steffen Wohlfarth,13,62
Michael Rose,16,60
Steven Hammell,15,65
Josh Law,15,57
Ben Hall,16,65
Juwon Oshaniwa,16,59
Fraser Kerr,14,60
Greg Kiltie,14,56
Henrik Ojamaa,15,66
Gary Teale,14,62
Matt Done,13,64
Robert McHugh,13,62
Lawrence Shankland,15,57
David Clarkson,14,57
Steve Banks,13,58
Jason Denayer,15,69
George Long,15,63
Mark Reynolds,16,70
Liam Craig,13,69
Gavin Gunning,12,65
